azon;szoto;szofaj;gyakori
260;baba;fn;23556
261;bácsi;fn;29102
262;baj;fn;111801
263;bajnok;fn;11759
264;bajnoki;mn;10089
265;bajnokság;fn;23161
266;bal;fn;11055
267;bal;mn;32793
268;balaton;fn;34900
269;balatoni;mn;15088
270;balázs;fn;20396
271;baleset;fn;41175
272;bálint;fn;18567
273;balogh;fn;11206
274;baloldal;fn;11094
275;baloldali;mn;15996
276;balra;hsz;12000
277;bámul;ige;13263
278;bán;ige;28978
279;bánat;fn;10979
280;bank;fn;78998
281;banki;mn;13437
282;bánt;ige;12297
283;baranya;fn;10571
284;barát;fn;135440
285;baráti;mn;24463
286;barátnő;fn;21970
287;barátság;fn;21394
288;barátságos;mn;14999
289;bárki;fn;60922
290;barlang;fn;23485
291;bármely;fn;74297
292;bármelyik;mn;34492
293;bármi;fn;52662
294;bármikor;hsz;33413
295;bármilyen;hsz;66372
296;barna;mn;17116
297;barokk;mn;11829
298;bartók;fn;11211
299;bátor;mn;29977
300;bátorság;fn;14277
301;bázis;fn;20778
302;bead;ige;13480
303;beadás;fn;13121
304;beadvány;fn;11257
305;beállít;ige;33843
306;beállítás;fn;49749
307;beavatkozás;fn;32390
308;bebizonyít;ige;10834
309;bécs;fn;17499
310;bécsi;mn;15139
311;becslés;fn;17781
312;becsül;ige;23434
313;becsületes;mn;10494
314;beépít;ige;13083
315;beépítés;fn;15120
316;beépített;mn;14214
317;beérkezett;mn;12627
318;befejez;ige;23636
319;befejezés;fn;33606
320;befejeződik;ige;11042
321;befektetés;fn;44037
322;befektető;fn;25233
323;befizet;ige;22623
324;befizetés;fn;27194
325;befogad;ige;27720
326;befogadás;fn;14173
327;befolyás;fn;21703
328;befolyásol;ige;69288
329;beindít;ige;12161
330;beír;ige;20035
331;bejár;ige;10162
332;bejárat;fn;18322
333;bejegyzés;fn;19563
334;bejelent;ige;27487
335;bejelentés;fn;46958
336;bejelentkezik;ige;41089
337;bejön;ige;13432
338;bejut;ige;15884
339;bekapcsol;ige;16030
340;bekapcsolás;fn;10067
341;béke;fn;44881
342;bekerül;ige;19224
343;békés;mn;30535
344;bekezdés;fn;219510
345;bekövetkezik;ige;38528
346;beküld;ige;23843
347;béla;fn;50925
348;belát;ige;10327
349;belátható;mn;11551
350;beleegyezés;fn;10767
351;beleért;ige;28057
352;belép;ige;64277
353;belépés;fn;57060
354;belföldi;mn;22556
355;belső;mn;148748
356;belügyminiszter;fn;11919
357;belügyminisztérium;fn;12261
358;belülről;hsz;14986
359;belváros;fn;14839
360;bemegy;ige;20565
361;bemutat;ige;72189
362;bemutatás;fn;50089
363;bemutatkozás;fn;10011
364;bemutatkozik;ige;12477
365;bemutató;fn;24467
366;bemutató;mn;16719
367;bent;hsz;13655
368;benzin;fn;11695
369;benyomás;fn;14828
370;benyújt;ige;81841
371;beosztás;fn;17658
372;bér;fn;34932
373;bérel;ige;12793
374;béremelés;fn;10798
375;berendezés;fn;72917
376;bérlet;fn;12278
377;bérleti;mn;17638
378;bérlő;fn;12132
379;beruházás;fn;90997
380;beruházási;mn;20725
381;besorolás;fn;14785
382;beszámol;ige;23560
383;beszámoló;fn;54056
384;beszéd;fn;71932
385;beszél;ige;255587
386;beszélget;ige;54351
387;beszélgetés;fn;64465
388;beszerez;ige;27685
389;beszerzés;fn;35007
390;betart;ige;16382
391;betartás;fn;23937
392;beteg;fn;89686
393;beteg;mn;36926
394;betegség;fn;102550
395;betölt;ige;25148
396;betöltés;fn;11923
397;betöltött;mn;10371
398;betű;fn;38693
399;bevall;ige;12598
400;bevallás;fn;11662
401;bevétel;fn;79946
402;bevezet;ige;39765
403;bevezetés;fn;67963
404;bevon;ige;14791
405;bevonás;fn;24283
406;bezár;ige;15091
407;biblia;fn;29591
408;bibliai;mn;10797
409;biológia;fn;11447
410;biológiai;mn;25396
411;bír;ige;83671
412;bírál;ige;19941
413;bírálat;fn;14036
414;bíró;fn;22917
415;birodalom;fn;24431
416;bírói;mn;10715
417;bíróság;fn;96537
418;bírósági;mn;21039
419;bírság;fn;14025
420;birtok;fn;47819
421;bíz;ige;44307
422;bizalom;fn;36930
423;bízik;ige;16512
424;bizony;hsz;55545
425;bizonyára;hsz;26199
426;bizonyít;ige;60613
427;bizonyítás;fn;13873
428;bizonyíték;fn;26834
429;bizonyítvány;fn;20110
430;bizonylat;fn;12558
431;bizonnyal;hsz;15268
432;bizonyos;mn;166531
433;bizonytalan;mn;21869
434;bizonytalanság;fn;17199
435;bizonyul;ige;31492
436;bizottság;fn;293843
437;bizottsági;mn;21517
438;biztonság;fn;73016
439;biztonsági;mn;56126
440;biztonságos;mn;39379
441;biztos;fn;18683
442;biztos;mn;219485
443;biztosít;ige;270632
444;biztosítás;fn;107165
445;biztosíték;fn;14900
446;biztosító;fn;25706
447;biztosító;mn;30146
448;biztosított;mn;48332
449;blokk;fn;11954
450;bocs;fn;10922
451;bocsánat;fn;14267
452;bocsát;ige;41390
453;bokor;fn;11604
454;boldog;mn;73726
455;boldogság;fn;33269
456;bolt;fn;27427
457;bolygó;fn;21972
458;bont;ige;19828
459;bontás;fn;13148
460;bonyolít;ige;13673
461;bonyolult;mn;37747
462;bor;fn;56365
463;borít;ige;17465
464;boríték;fn;11028
465;botrány;fn;12436
466;bő;mn;34629
467;bölcs;mn;19251
468;bölcsesség;fn;17658
469;bölcsész;fn;10008
470;böngészik;ige;34258
471;böngésző;fn;23853
472;bőr;fn;55844
473;börtön;fn;27016
474;bőséges;mn;12484
475;bőven;hsz;14248
476;bővít;ige;27111
477;bővítés;fn;45842
478;bővül;ige;38766
479;brit;mn;17262
480;bruttó;mn;20165
481;brüsszel;fn;11386
482;búcsú;fn;11224
483;buda;fn;11809
484;budai;mn;16253
485;budapest;fn;201977
486;budapesti;mn;93502
487;búj;ige;11255
488;bukás;fn;10555
489;bukkan;ige;13363
490;buli;fn;15262
491;burkolat;fn;12126
492;busz;fn;29971
493;bútor;fn;17632
494;búza;fn;10428
495;bűn;fn;63158
496;bűncselekmény;fn;32786
497;bűnös;mn;12620
498;bűnözés;fn;10799
499;bűnöző;fn;10544
500;büntet;ige;20807
501;büntetés;fn;34881
502;büntető;mn;10127
503;büszke;mn;29844
504;cáfol;ige;10282
505;cég;fn;229888
506;cél;fn;523418
507;célkitűzés;fn;30522
508;céloz;ige;21633
509;célszerű;mn;45596
510;célzó;mn;11644
511;centrum;fn;18009
512;cigány;fn;25917
513;cigány;mn;35109
514;cigányság;fn;12366
515;cigaretta;fn;10574
516;cikk;fn;146014
517;ciklus;fn;30108
518;cím;fn;303751
519;címszó;fn;10128
520;című;mn;132503
521;címzett;fn;12722
522;címzett;mn;10222
523;cipő;fn;20091
524;civil;fn;15092
525;civil;mn;67800
526;civilizáció;fn;17801
527;cm;fn;48622
528;copyright;fn;26470
529;cukor;fn;18999
530;csaba;fn;31826
531;csak;hsz;2099555
532;csakis;hsz;19645
533;csaknem;hsz;40628
534;család;fn;218997
535;családi;mn;77669
536;családtag;fn;16329
537;csalódás;fn;10598
538;csap;ige;16367
539;csapás;fn;13925
540;csapat;fn;137103
541;csapda;fn;10059
542;csarnok;fn;11200
543;császár;fn;16973
544;csata;fn;18670
545;csatlakozás;fn;122164
546;csatlakozik;ige;58320
547;csatlakozó;mn;14767
548;csatol;ige;27370
549;csatolás;fn;11595
550;csatorna;fn;37529
551;csecsemő;fn;15801
552;cseh;mn;16579
553;csekély;mn;20160
554;cselekedet;fn;27070
555;cselekedik;ige;24131
556;cselekmény;fn;21318
557;cselekvés;fn;27657
558;csend;fn;27770
559;csendes;mn;23863
560;csepp;fn;15000
561;csere;fn;33894
562;cserél;ige;26608
563;csillag;fn;46011
564;csinál;ige;149082
565;csoda;fn;43506
566;csodálatos;mn;39854
567;csodálkozik;ige;17710
568;csomag;fn;35865
569;csomagolás;fn;19466
570;csomópont;fn;10096
571;csongrád;fn;11458
572;csont;fn;15138
573;csoport;fn;338414
574;csoportos;mn;15713
575;cső;fn;17692
576;csökken;ige;97448
577;csökkenés;fn;35495
578;csökkent;ige;72911
579;csökkentés;fn;39467
580;csönd;fn;16695
581;csúcs;fn;33858
582;csúnya;mn;16848
583;csupa;hsz;14627
584;csupán;hsz;142153
585;csúszik;ige;11376
586;csütörtök;fn;39183
587;daganat;fn;11380
588;dal;fn;30279
589;dallam;fn;10040
590;dániel;fn;10071
591;darab;fn;103703
592;dátum;fn;23910
593;dávid;fn;18146
594;db;fn;59475
595;deák;fn;13828
596;debrecen;fn;30043
597;debreceni;mn;26355
598;december;fn;83922
599;definiál;ige;14041
600;definíció;fn;10420
601;dél;fn;17396
602;delegál;ige;11460
603;délelőtt;hsz;21715
604;déli;mn;31394
605;délután;fn;13404
606;délután;hsz;45122
607;délutáni;mn;10598
608;demokrácia;fn;37031
609;demokrata;mn;13035
610;demokratikus;mn;36032
611;demonstráció;fn;10119
612;derék;fn;12684
613;derül;ige;32099
614;design;fn;12077
615;dezső;fn;11286
616;diák;fn;108024
617;dicsér;ige;10417
618;dicsőség;fn;18903
619;digitális;mn;33021
620;díj;fn;178113
621;díjazás;fn;13850
622;diktatúra;fn;14200
623;dimenzió;fn;17855
624;dinamikus;mn;23120
625;diploma;fn;29487
626;díszít;ige;20021
627;diszkrimináció;fn;13328
628;divat;fn;19535
629;divatos;mn;11142
630;dob;ige;24593
631;doboz;fn;23348
632;dohányzás;fn;13464
633;doktor;fn;19960
634;doktori;mn;23386
635;dokumentáció;fn;27764
636;dokumentál;ige;11933
637;dokumentum;fn;88352
638;dolgozat;fn;26927
639;dolgozik;ige;216182
640;dolgozó;fn;78201
641;dolgozó;mn;39519
642;dollár;fn;38662
643;dolog;fn;400490
644;domb;fn;12000
645;dől;ige;16055
646;dönt;ige;164366
647;döntés;fn;206013
648;döntő;fn;13119
649;döntő;mn;43065
650;drága;mn;37506
651;dráma;fn;17024
652;drámai;mn;12673
653;drog;fn;19159
654;duna;fn;37598
655;durva;mn;22277
656;e;fn;484090
657;é;fn;53692
658;eb;fn;491152
659;ebéd;fn;21012
660;ébred;ige;14764
661;eddig;hsz;168336
662;eddigi;mn;64353
663;edény;fn;17593
664;édes;mn;19775
665;édesanya;fn;15973
666;édesapa;fn;11449
667;edzés;fn;22296
668;edző;fn;16276
669;ég;fn;55220
670;ég;ige;12228
671;eger;fn;11818
672;egér;fn;13691
673;egész;fn;94609
674;egész;hsz;19703
675;egész;mn;306730
676;egészen;hsz;106711
677;egészít;ige;15123
678;egészség;fn;53885
679;egészségbiztosítás;fn;11709
680;egészséges;mn;65725
681;egészségi;mn;17068
682;egészségügy;fn;30019
683;egészségügyi;mn;117404
684;egri;mn;12618
685;egy;hsz;12854
686;egyáltalán;hsz;91458
687;egyaránt;hsz;82761
688;egyben;hsz;62826
689;egyéb;fn;260797
690;egyed;fn;15878
691;egyedi;mn;62584
692;egyedül;hsz;79959
693;egyedülálló;mn;23828
694;egyelőre;hsz;56580
695;egyén;fn;44879
696;egyenes;mn;20439
697;egyenesen;hsz;22460
698;egyéni;mn;107723
699;egyéniség;fn;17133
700;egyenként;hsz;12111
701;egyenletes;mn;16498
702;egyenlő;mn;36536
703;egyensúly;fn;33147
704;egyértelmű;mn;82887
705;egyes;fn;21153
706;egyes;mn;266974
707;egyesül;ige;10288
708;egyesülés;fn;12251
709;egyesület;fn;129627
710;egyesült;mn;46891
711;egyet;hsz;15744
712;egyetem;fn;150288
713;egyetemes;mn;18829
714;egyetemi;mn;79798
715;egyetemista;fn;10847
716;egyetér;ige;27134
717;egyetért;ige;19682
718;egyetértés;fn;25859
719;egyetlen;mn;97196
720;egyezik;ige;14234
721;egyezmény;fn;34998
722;egyeztet;ige;56346
723;egyfajta;mn;29651
724;egyforma;mn;13495
725;egyformán;hsz;10405
726;egyház;fn;142352
727;egyházi;mn;49613
728;egyidejűleg;hsz;30521
729;egyik;fn;545911
730;egykor;hsz;15240
731;egykori;mn;45790
732;egymás;fn;322265
733;egyre;hsz;232277
734;egység;fn;110786
735;egységes;mn;75385
736;egyszemélyes;mn;25906
737;egyszer;hsz;154670
738;egyszerre;hsz;69304
739;egyszerű;mn;146513
740;egyszerűen;hsz;93136
741;egyszerűsít;ige;11456
742;egyúttal;hsz;26092
743;együtt;hsz;122849
744;együttes;fn;28410
745;együttes;mn;47455
746;együttműködés;fn;115958
747;együttműködik;ige;32997
748;éjfél;fn;10133
749;éjjel;hsz;20526
750;éjszaka;hsz;17940
751;éjszaka;fn;46905
752;éjszakai;mn;19924
753;ejt;ige;21013
754;ekkor;hsz;115416
755;ekkora;fn;12436
756;él;fn;32621
757;él;ige;351775
758;elad;ige;28720
759;eladás;fn;23713
760;eladó;fn;27977
761;elárul;ige;13334
762;elbeszélés;fn;10652
763;elbeszélget;ige;25819
764;elbírálás;fn;33300
765;eldönt;ige;28251
766;elég;hsz;164907
767;elég;mn;24881
768;elegáns;mn;13577
769;elégedett;mn;21172
770;elegendő;mn;47053
771;eleget;hsz;35584
772;eléggé;hsz;28591
773;eleinte;hsz;16648
774;elektromos;mn;27430
775;elektronika;fn;11153
776;elektronikus;mn;62782
777;élelmiszer;fn;27636
778;elem;fn;144363
779;elemez;ige;25916
780;elemi;mn;17308
781;elemzés;fn;62969
782;elemző;fn;11295
783;elengedhetetlen;mn;31573
784;élénk;mn;13370
785;elér;ige;154623
786;elérés;fn;44908
787;elérhető;mn;80558
788;éles;mn;30302
789;élet;fn;660574
790;életév;fn;10757
791;életkor;fn;27144
792;életmód;fn;29148
793;életmű;fn;12085
794;eleve;hsz;22429
795;eleven;mn;10035
796;elfelejt;ige;38431
797;elfogad;ige;109715
798;elfogadás;fn;49584
799;elfogadhatatlan;mn;10262
800;elfogadható;mn;24846
801;elfogadott;mn;45344
802;elfoglal;ige;13761
803;elhagy;ige;30889
804;elhangzik;ige;37577
805;elhatároz;ige;17361
806;elhatározás;fn;11962
807;elhelyez;ige;25737
808;elhelyezés;fn;44283
809;elhelyezett;mn;19270
810;elhelyezkedés;fn;14347
811;elhelyezkedik;ige;13055
812;elhisz;ige;14588
813;elhunyt;mn;10279
814;elindít;ige;14602
815;elindul;ige;42531
816;elismer;ige;31116
817;elismerés;fn;46425
818;elismert;mn;26892
819;elítél;ige;11595
820;eljár;ige;25403
821;eljárás;fn;234424
822;eljön;ige;30072
823;eljut;ige;39077
824;eljuttat;ige;18748
825;elképzel;ige;18725
826;elképzelés;fn;65520
827;elképzelhető;mn;23958
828;elkerül;ige;34813
829;elkerülés;fn;28191
830;elkerülhetetlen;mn;13197
831;elkészít;ige;30320
832;elkészítés;fn;48680
833;elkészített;mn;10853
834;elkészül;ige;36260
835;elkészült;mn;11943
836;elkezd;ige;64144
837;elkezdődik;ige;17567
838;elkötelezettség;fn;13505
839;elkövet;ige;11182
840;elkövetés;fn;10874
841;elkövetett;mn;15465
842;elkövetkező;mn;10357
843;elkövető;fn;14396
844;elküld;ige;43624
845;elkülönít;ige;10867
846;elkülönített;mn;11237
847;ellát;ige;57832
848;ellátás;fn;143951
849;ellátott;mn;29062
850;ellenállás;fn;18658
851;ellenfél;fn;31644
852;ellenkező;mn;13807
853;ellenőr;fn;10823
854;ellenőriz;ige;98772
855;ellenőrzés;fn;119239
856;ellenőrző;mn;20977
857;ellenség;fn;33178
858;ellenséges;mn;10976
859;ellentét;fn;23265
860;ellentétes;mn;23115
861;ellentmondás;fn;17861
862;ellenzék;fn;22562
863;ellenzéki;mn;21798
864;elmarad;ige;23854
865;elmaradás;fn;11956
866;elme;fn;15976
867;elmegy;ige;68163
868;elmélet;fn;39796
869;elméleti;mn;38813
870;élmény;fn;70576
871;elmesél;ige;10633
872;elmond;ige;157730
873;elmúlik;ige;12215
874;elmúlt;mn;145586
875;elnevezés;fn;25774
876;elnevezésű;mn;10212
877;elnézés;fn;14746
878;elnök;fn;268321
879;elnöki;mn;12220
880;elnökség;fn;48559
881;elnyer;ige;24099
882;elolvas;ige;33400
883;elosztás;fn;13225
884;élő;fn;28861
885;élő;mn;127462
886;előad;ige;10745
887;előadás;fn;148648
888;előadó;fn;35419
889;előállít;ige;17389
890;előállítás;fn;25638
891;előbb;hsz;74108
892;előbbi;fn;10403
893;előbbi;mn;16709
894;előbb-utóbb;hsz;12939
895;előd;fn;20507
896;előfeltétel;fn;10699
897;előfizető;fn;22707
898;előfordul;ige;73053
899;előír;ige;18959
900;előirányzat;fn;34804
901;előírás;fn;88648
902;előírt;mn;45777
903;előítélet;fn;13298
904;előkészít;ige;31555
905;előkészítés;fn;44143
906;előkészület;fn;11139
907;élőlény;fn;14934
908;előny;fn;99981
909;előnyös;mn;21496
910;előre;hsz;93320
911;előrehaladás;fn;35119
912;előrejelzés;fn;24503
913;előrelép;ige;11948
914;elősegít;ige;39369
915;elősegítés;fn;18450
916;először;hsz;181436
917;előtér;fn;21975
918;előterjeszt;ige;19699
919;előterjesztés;fn;42949
920;előz;ige;12718
921;előzetes;mn;65848
922;előzmény;fn;13810
923;előző;mn;110233
924;elpusztul;ige;10470
925;elrendel;ige;17214
926;elsajátít;ige;38621
927;első;fn;40717
928;elsődleges;mn;37868
929;elsősorban;hsz;187393
930;elszámol;ige;13068
931;elszámolás;fn;28650
932;eltávolít;ige;24104
933;eltávolítás;fn;10524
934;eltekint;ige;14589
935;eltelik;ige;14155
936;eltelt;mn;10770
937;eltér;ige;23058
938;eltérés;fn;42107
939;elterjedés;fn;12636
940;elterjedt;mn;22342
941;eltérő;mn;82203
942;eltölt;ige;18363
943;eltűnik;ige;34605
944;elutasít;ige;31846
945;elutasítás;fn;12892
946;elv;fn;97697
947;elválaszt;ige;10804
948;elvár;ige;25267
949;elvárás;fn;44081
950;elvégez;ige;60983
951;elvégzés;fn;36814
952;elvesz;ige;32504
953;elveszett;mn;10275
954;elveszít;ige;20110
955;elveszt;ige;21546
956;elvesztés;fn;11138
957;élvez;ige;52622
958;élvezet;fn;14903
959;elvi;mn;14170
960;elvileg;hsz;13875
961;elvisel;ige;12422
962;elvisz;ige;22574
963;elvtárs;fn;12002
964;email;fn;43968
965;e-mail;fn;79956
966;ember;fn;968091
967;emberi;mn;192976
968;emberiség;fn;38823
969;eme;hsz;10026
970;emel;ige;78027
971;emelés;fn;27356
972;emelet;fn;19267
973;emelkedés;fn;23399
974;emelkedik;ige;62722
975;emelt;mn;13396
976;emleget;ige;22251
977;emlék;fn;68086
978;emlékezet;fn;18282
979;emlékezik;ige;37407
980;emlékeztet;ige;28628
981;emlékeztető;mn;13517
982;emlékmű;fn;11194
983;emlékszik;ige;36406
984;említ;ige;69983
985;említés;fn;15926
986;említett;mn;81560
987;emotikon;fn;22553
988;én;fn;1523280
989;endre;fn;19545
990;ének;fn;20021
991;énekel;ige;28989
992;energia;fn;75114
993;enged;ige;91359
994;engedély;fn;137366
995;engedélyez;ige;79833
996;enyhe;mn;27831
997;enyhít;ige;16191
998;ennyire;hsz;23330
999;eötvös;fn;11364
1000;ép;mn;13177
1001;épít;ige;100899
1002;építés;fn;53376
1003;építési;mn;36464
1004;építész;fn;14912
1005;építészet;fn;11852
1006;építészeti;mn;17148
1007;épített;mn;17109
1008;építkezés;fn;22119
1009;építmény;fn;17889
1010;építőipar;fn;12053
1011;épp;hsz;64839
1012;éppen;hsz;259580
1013;éppúgy;hsz;16987
1014;épül;ige;106537
1015;épület;fn;167610
1016;ér;ige;341773
1017;erdei;mn;15766
1018;érdek;fn;339178
1019;érdekel;ige;73359
1020;érdekelt;mn;13533
1021;érdekeltség;fn;10887
1022;érdekes;mn;102610
1023;érdekesség;fn;17214
1024;érdekképviselet;fn;18615
1025;érdeklődés;fn;66261
1026;érdeklődik;ige;30497
1027;érdeklődő;fn;41595
1028;érdeklődő;mn;11325
1029;érdekvédelem;fn;13346
1030;erdély;fn;22014
1031;erdélyi;mn;31631
1032;érdem;fn;21398
1033;érdemel;ige;17501
1034;érdemes;mn;128086
1035;érdemi;mn;19950
1036;erdő;fn;55954
1037;ered;ige;39323
1038;eredet;fn;20738
1039;eredeti;mn;104822
1040;eredetileg;hsz;25424
1041;eredetű;mn;21011
1042;eredmény;fn;324249
1043;eredményeképpen;hsz;12252
1044;eredményes;mn;46305
1045;eredményesség;fn;13427
1046;eredményez;ige;42652
1047;erény;fn;14820
1048;érett;mn;15031
1049;érettségi;fn;22814
1050;érettségizik;ige;11294
1051;érez;ige;262587
1052;érezhető;mn;11960
1053;érint;ige;113663
1054;érintett;fn;24443
1055;érintett;mn;72274
1056;érintkezés;fn;11082
1057;érkezés;fn;11112
1058;érkezik;ige;158121
1059;erkölcs;fn;12586
1060;erkölcsi;mn;50081
1061;erő;fn;206058
1062;erőfeszítés;fn;26901
1063;erőforrás;fn;31845
1064;erőmű;fn;17301
1065;erős;mn;172808
1066;erősít;ige;48967
1067;erősítés;fn;21974
1068;erősödik;ige;26820
1069;erősség;fn;11332
1070;erőszak;fn;25880
1071;erőszakos;mn;13900
1072;erőteljes;mn;28997
1073;érsek;fn;10608
1074;ért;ige;168255
1075;érték;fn;264964
1076;értékel;ige;88981
1077;értékelés;fn;87410
1078;értékes;mn;39898
1079;értékesít;ige;20491
1080;értékesítés;fn;47494
1081;értekezlet;fn;16356
1082;értékpapír;fn;12225
